Brand,ID,Rating,Sentiment,Combined_Text,VADER_Sentiment,VADER_Correct
Nike,616712,5.0,positive,Nice shoes. [This review was collected as part of a promotion.] I really like the shoes. It fits perfectly. I ordered it half a size bigger because it's for running. So far so good and I can't wait to try it for running,positive,True
Nike,616651,5.0,positive,Comfort!. [This review was collected as part of a promotion.] Shoes are very comfortable and I am looking forward to breaking them in on some runs!,positive,True
Nike,617034,5.0,positive,Very comfortable shoes!. [This review was collected as part of a promotion.] Great fit and was received as expected! Shoes has a good look and easy to wear,positive,True
Nike,617150,4.0,positive,"Comfy daily. [This review was collected as part of a promotion.] Use these as work shoes, super comfortable and breathable, sleek and minimal. Cheapest shoe in the store and is amazing for the price",positive,True
Nike,609162,1.0,negative,Looks good in photos only in online.,positive,False
Nike,613277,5.0,positive,Great for the price. [This review was collected as part of a promotion.] Great shoe for the price. Held up well and is comfortable. I would definitely buy again,positive,True
Nike,614355,5.0,positive,Terrific shoe for running. [This review was collected as part of a promotion.] A great shoe. Why do they force me to pen more than the 3 words needed,positive,True
Nike,613931,5.0,positive,"Awesome everyday shoes. [This review was collected as part of a promotion.] Great, comfortable shoes for everyday wear and workouts",positive,True
Nike,613932,5.0,positive,Great shoe. [This review was collected as part of a promotion.] My son would recommend! Says they’re comfortable and light weight,positive,True
Nike,596976,1.0,negative,I will not buy again. Because this one let’s cold air in that’s not I expected I wear ones and I don’t like it,positive,False
Nike,613376,4.0,positive,"Great fit, snug and lightweight. [This review was collected as part of a promotion.] Wife uses them for work, on her feet all day, so the snug fit works well",positive,True
Nike,613010,5.0,positive,Great Shoes!!. [This review was collected as part of a promotion.] Bought these shoes as a gift for my son for Christmas and loves them!!!,positive,True
Nike,613012,5.0,positive,Very comfy. [This review was collected as part of a promotion.] True fit and comfortable fit and great look and color,positive,True
Nike,614356,5.0,positive,COMFORTABLE SHOES. [This review was collected as part of a promotion.] comfortable shoes. i felt like i received good value. i enjoy the bright colorway,positive,True
Nike,608117,5.0,positive,Nice shoes. [This review was collected as part of a promotion.] Bought them over 3 months ago and great quality for my son. Good shoes for price,positive,True
Nike,608580,5.0,positive,Perfect for the gym. [This review was collected as part of a promotion.] I bought these shoes for workouts at the gym. They have been very effective,positive,True
Nike,601294,5.0,positive,"Revolution 7 was a great shoe!. I was barely able to get the Revolution 7 before they were gone and I have to say, this is the running show Nike used to be known for.  A simple, affordable, light, well fitting running shoe.  I got away from Nike because their shoes had become too complicated, too specialized and could never find the right shoe anymore.  The shoe is slightly on the firm side but it has great control.  I hope when the time comes, the Revolution 8 is just as good!",positive,True
Nike,607284,4.0,positive,Super comfy. [This review was collected as part of a promotion.] Bought to use as some nice cushioned running shoes. Great price,positive,True
Nike,606442,5.0,positive,Great shoes. [This review was collected as part of a promotion.] Very comfortable and great to walk in! Happy with my purchase and would recommend,positive,True
Nike,606461,4.0,positive,Great value and stylish. [This review was collected as part of a promotion.] Bought for my son and he’s pretty happy with them,positive,True
