Brand,ID,Rating,Sentiment,Combined_Text,VADER_Sentiment,VADER_Compound,VADER_Correct
Nike,609162,1.0,negative,Looks good in photos only in online.,positive,0.4404,False
Nike,596976,1.0,negative,I will not buy again. Because this one let’s cold air in that’s not I expected I wear ones and I don’t like it,positive,0.3612,False
Nike,601294,5.0,positive,"Revolution 7 was a great shoe!. I was barely able to get the Revolution 7 before they were gone and I have to say, this is the running show Nike used to be known for.  A simple, affordable, light, well fitting running shoe.  I got away from Nike because their shoes had become too complicated, too specialized and could never find the right shoe anymore.  The shoe is slightly on the firm side but it has great control.  I hope when the time comes, the Revolution 8 is just as good!",positive,0.9586,True
Nike,601584,4.0,positive,Odd toe box. I got these shoes as a Christmas gift. I usually wear 9.5 or 10 across all brands. I received size 10 and my toes were squished to the end and also height wise. I do like how light the shoes are and they have great arch support,positive,0.9186,True
Nike,589880,1.0,negative,unusual heel slip and weird space at the bridge. unusual heel slip and weird space at the bridge,negative,-0.34,True
Nike,588630,5.0,positive,Excellent. Excellent trainers at a very good price. My son loves them,positive,0.9359,True
Nike,589467,5.0,positive,They’re very comfortable and they look good on me.,positive,0.7574,True
Nike,593430,1.0,negative,"Comfortable, but not durable. I ordered these in early August for my son, who works out most every day. At least once a week, this includes a 10-mile run. While they were comfortable and cushiony from the start, the uppers started ripping about a month ago. I am not impressed. But, hey, that definitely made them more breathable!",positive,0.797,False
Nike,588383,5.0,positive,Great. Comfortable. Good value. Fast delivery,positive,0.9136,True
Nike,584749,5.0,positive,"Great shoes. My son has not been able to wear them because they were small for him, but I exchange them and I am waiting for the new size. He had the chance to try them and loved them",positive,0.886,True
Nike,584117,5.0,positive,My Review. Very comfortable and a great price,positive,0.8268,True
Nike,579346,5.0,positive,"Very comfortable shoes, I like it!",positive,0.7495,True
Nike,583928,1.0,negative,It came too big I need a reembolso,negative,0.0,True
Nike,576453,5.0,positive,Awesome. Super comfortable. I am very satisfied with this pair,positive,0.9371,True
Nike,579383,4.0,positive,"Shoes are great, but they do run a little small",positive,0.3716,True
Nike,574592,5.0,positive,Great running shoes. Really good running shoes.  Very comfortable and a great fit,positive,0.9551,True
Nike,570989,5.0,positive,A must have. I am all day on my feet. Walk a min of 10 000 steps per-in doors. This shoe is brilliant. For the price it’s a great buy. True to size. I’m in London and it’s winter -works fine  All round a good buy,positive,0.9371,True
Nike,571027,5.0,positive,The Revolution Begins!. These are incredibly comfortable shoes...they fit just right...about to order another pair ;),positive,0.82,True
Nike,593081,5.0,positive,Comfort. Nice fit  Nice shoes to wear Love these shoes Very nice and breathable,positive,0.9509,True
Nike,568418,5.0,positive,I been getting these shoes for so long I went through 10 pairs of them and I love them there comfortable well fitting and last a long time if you don’t rate these five stars you are crazy FIVE STARS!,positive,0.8172,True
Nike,566135,4.0,positive,"The Revolution Works for Me!. Just purchased a pair after foot surgery until I can get the Vomero that I really want.  I ended up getting an 11.5 wide and I am very happy with the fit of them. The toe box isn't very wide, so consider getting the wide if that is important to you. I am very unstable since taking the surgical offload boot, but they give me a sense of balance as I am getting back on my feet ...literally.  My plan is to use them as a beater pair for the gym once my Vomero's are ordered.  I spent over an hour in the store trying on Nike's and kept coming back to this one.  For the sub $100 price point, it is worth the value of getting a show worthy of the Swoosh",positive,0.9125,True
Nike,564313,5.0,positive,"Great price, Great Shoe. My son loves them.  Great fit and lightweight!",positive,0.9628,True
Nike,557707,5.0,positive,"Very comfortable, runs half a size big but still good",positive,0.7308,True
Nike,593413,5.0,positive,"it feels so good to run in and great for school, sport. it is very good for summer 5 stars.",positive,0.9008,True
Nike,544791,5.0,positive,comfortable to wear and the fit is perfect,positive,0.8591,True
Nike,535829,5.0,positive,"Excellent. It's very comfortable to wear, and it gives me the vibes of Nike Pegasus. I'm thinking of getting another one in a different colour",positive,0.807,True
Nike,531209,5.0,positive,"Revolution feels like Pegasus 39 but for a 3rd of the price.. I recently picked up the Nike Revolution and I’m really impressed. They’re lightweight, comfortable, and give great support whether I’m walking, running, or just wearing them day-to-day. The cushioning feels soft but responsive, and the fit is true to size without feeling tight. I also love the clean design – they look great with both sportswear and casual outfits. For the price, the quality is excellent. Definitely a solid choice if you’re after comfort, style, and performance all in one",positive,0.9962,True
Nike,530568,5.0,positive,"Good for the price. They are really comfortable, and is true to its size",positive,0.8516,True
Nike,530272,5.0,positive,REVOLUTION 8. I ALREADY HAVE A PAIR IN BLACK. WANTED ONE IN WHITE. VERY COMFORTABLE,positive,0.7235,True
Nike,523767,5.0,positive,"Excellent running shoe after is broken into.  Breathable material is comfortable, Like the shoe, for the price, I would buy it again, and definitely would recommend it.",positive,0.891,True
Nike,520146,5.0,positive,"The fit is true to size and it is pretty comfortable. I wear 8.5 Nike SB's, and these fit similarly.",positive,0.9231,True
Nike,509124,1.0,negative,Bad sneakers. I didn't  like this particular sneaker to small cramped my foot very uncomfortable,negative,-0.8178,True
